cable_id,sld_schema,cbl_type,label,from,calc_lengt,splice_id,to,backhaul,sp1_type,sp1_label,sp2_type,sp2_label,stru_label,enc_type,placement,sc_type,coords_from,coords_to,reel_end
240,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;,12,GAL/A146/12F,GAL/A145,303,146,GAL/A146,2,SP4A,GAL/A146/A138/7,,NULL,1693053,2,1,ODP2,POINT(519988.28 726348.66),POINT(519715.11 726279.51),2
11,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;1;2;2;,12,GAL/A142/12F,GAL/A271,290,142,GAL/A142,2,SP4A,GAL/A142/A138/4,,NULL,277288,2,1,ODP2,POINT(522485.49 725815.86),POINT(522731.11 725709.36),2
153,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;2;,24,GAL/A137/24F,GAL/A138,455,137,GAL/A137,2,SP4A,GAL/A137/A138/1,,NULL,1538700,2,1,ODP2,POINT(522994.48 724460.26),POINT(522740.1 724105.21),2
141,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;2;1;,24,GAL/A147/24F,GAL/A137,110,147,GAL/A147,2,SP8A,GAL/A147/A139,SP4B,GAL/A147/A139/6,1538612,5,1,ODP1+ODP2,POINT(522740.1 724105.21),POINT(522734.76 724024.91),2
150,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;2;1;1;,24,GAL/A148/24F,GAL/A147,98,148,GAL/A148,2,SP4A,GAL/A148/A139/1,,NULL,1538614,2,1,ODP2,POINT(522734.76 724024.91),POINT(522761.43 723951.54),2
151,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;2;1;1;1;,24,GAL/A149/24F,GAL/A148,185,149,GAL/A149,2,SP4A,GAL/A149/A139/2,,NULL,1779954,2,1,ODP2,POINT(522761.43 723951.54),POINT(522794.25 723786.44),2
152,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;2;1;1;1;1;,24,GAL/A150/24F,GAL/A149,47,150,GAL/A150,2,SP4A,GAL/A150/A139/3,,NULL,1779955,2,1,ODP2,POINT(522794.25 723786.44),POINT(522798.42 723753.58),2
224,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;2;1;1;1;1;1;,24,GAL/A151/24F,GAL/A150,96,151,GAL/A151,2,SP4A,GAL/A151/A139/4,,NULL,1538619,2,1,ODP2,POINT(522798.42 723753.58),POINT(522809.59 723680.54),2
274,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;,12,GAL/A278/12F,GAL/A151,32,278,GAL/A278,2,SP4A,GAL/A278/A139/5,NULL,NULL,NULL,2,3,ODP2,POINT(522809.59 723680.54),POINT(522827.99 723690.09),2
142,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;2;1;1;1;1;1;2;,24,GAL/A152/24F,GAL/A151,54,152,GAL/A152,2,SP8A,GAL/A152/A140,SP4B,GAL/A152/A140/5,1538620,5,1,ODP1+ODP2,POINT(522809.59 723680.54),POINT(522821.49 723646.52),2
